ranking_dea,cod_ibge,Município,UF,População_2022,eficiencia_dea,phi_expansao_outputs,eficiente,benchmarks_sugeridos,tipo_benchmark,risco_inundacao,risco_deslizamento,exposicao_domicilios_risco,saneamento_resiliente,gestao_risco,governanca_investimento_adaptativo,agua,esgoto,tratamento_esgoto,infraestrutura,politica_ambiental,risco_composto,grupo_prioridade,cluster_kmeans,classe_inundacao,classe_deslizamento,risco_percentil,ineficiencia_percentil,indice_prioridade,eficiencia_pred_rf
551,3553500,Tapiraí,SP,7996,0.6334359045990574,1.5786916919920488,False,Guariba; Santa Ernestina; Ituverava,similaridade,0.32,0.25,34.0,73.87333333333333,40,20.0,65.17,56.45,100.0,0.0,40,0.28500000000000003,baixo risco/baixa eficiência,4,Baixo,Baixo,0.1635658914728682,0.8542635658914729,0.13972838170783006,0.6450818721434562
552,3509007,Caieiras,SP,95030,0.6300702661268424,1.5871245696883678,False,Leme; São Simão; São Joaquim da Barra,similaridade,0.73,0.78,42.0,73.34,28,41.343669510371775,99.76,88.8,31.46,2.68733902074355,80,0.755,alto risco/baixa eficiência,2,Alto,Alto,0.9782945736434109,0.8558139534883721,0.8372381467459888,0.6859161909173638
553,3515152,Engenheiro Coelho,SP,19566,0.6287500000000007,1.590457256461231,False,Guariba; Ituverava; Lins,similaridade,0.4,0.3,0.0,66.66666666666667,60,20.083300875727154,100.0,100.0,0.0,0.16660175145431,40,0.35,baixo risco/baixa eficiência,4,Médio,Baixo,0.27596899224806204,0.8573643410852713,0.23660597319872603,0.5648921282597767
554,3506706,Boa Esperança do Sul,SP,12978,0.6284686434255399,1.5911692818107617,False,Dumont; Paulo de Faria; Terra Roxa,similaridade,0.63,0.53,0.0,73.58999999999999,0,0.0,77.05,77.05,66.67,0.0,0,0.5800000000000001,alto risco/baixa eficiência,4,Alto,Médio,0.7992248062015503,0.8589147286821706,0.686465957574665,0.6748361909249987
555,3513900,Divinolândia,SP,11158,0.6284685618240219,1.591169488411118,False,Pompéia; Pontal; Ituverava,similaridade,0.46,0.54,0.0,73.53,28,40.63970800718674,70.52,62.17,87.9,1.27941601437348,80,0.5,alto risco/baixa eficiência,4,Médio,Médio,0.6635658914728683,0.8604651162790697,0.5709753019650262,0.6560981388240955
556,3520301,Iguape,SP,29115,0.6275668319358513,1.593455786876605,False,Leme; São Simão; São Joaquim da Barra,similaridade,0.73,0.76,61.0,73.07666666666667,24,42.3202120842809,65.63,53.6,100.0,24.6404241685618,60,0.745,alto risco/baixa eficiência,2,Alto,Alto,0.9751937984496124,0.862015503875969,0.8406321735472628,0.6556785503927799
557,3514809,Eldorado,SP,13069,0.626143890520096,1.5970769900339787,False,Leme; Pompéia; São Simão,similaridade,0.67,0.7,69.0,69.77333333333333,44,40.0,58.02,51.3,100.0,0.0,80,0.685,alto risco/baixa eficiência,2,Alto,Alto,0.9410852713178295,0.8635658914728682,0.8126891412775675,0.6189311816979792
558,3528502,Mairiporã,SP,93617,0.6234119043967193,1.6040758813672447,False,Paulistânia; Ilhabela; Guariba,similaridade,0.35,0.25,100.0,58.676666666666655,32,44.579927378723724,62.88,39.69,73.46,9.15985475744745,80,0.3,baixo risco/baixa eficiência,2,Baixo,Baixo,0.18372093023255814,0.8651162790697674,0.15893996755002704,0.608124602816422
559,3519709,Ibiúna,SP,74957,0.6232293941082188,1.6045456287101216,False,Ilhabela; Paulistânia; Ituverava,similaridade,0.29,0.36,0.0,55.723333333333336,40,41.76538804638715,50.36,16.83,99.98,3.53077609277431,80,0.32499999999999996,baixo risco/baixa eficiência,4,Baixo,Baixo,0.2255813953488372,0.8666666666666667,0.19550387596899224,0.5471731447147867
560,3552403,Sumaré,SP,279546,0.6223348292594882,1.6068520561349473,False,Leme; Pompéia; Pontal,similaridade,0.67,0.51,100.0,73.02333333333333,48,30.0,97.83,98.82,22.42,0.0,60,0.5900000000000001,alto risco/baixa eficiência,2,Alto,Médio,0.8186046511627907,0.8682170542635659,0.7107265188390121,0.6989384822335
561,3556354,Vargem,SP,10512,0.6192149935996135,1.614947974994616,False,Paulistânia; Águas de São Pedro; Ilhabela,similaridade,0.16,0.12,0.0,65.77666666666667,44,40.0,54.68,44.28,98.37,0.0,80,0.14,baixo risco/baixa eficiência,4,Muito baixo,Muito baixo,0.031007751937984496,0.8697674418604651,0.026969533080944654,0.6015652519939442
562,3509809,Campos Novos Paulista,SP,4888,0.6154324554755591,1.6248736820798255,False,Auriflama; Santópolis do Aguapeí; Paulo de Faria,similaridade,0.57,0.49,0.0,72.66333333333334,0,26.47512909751105,77.72,77.72,62.55,32.9502581950221,20,0.53,alto risco/baixa eficiência,4,Médio,Médio,0.7217054263565892,0.8713178294573644,0.628834805600625,0.6702189631098913
563,3555406,Ubatuba,SP,92980,0.6128533535430087,1.6317117206242424,False,Leme; São Simão; Pompéia,similaridade,0.63,0.7,59.0,72.48,24,35.0296641580078,77.87,39.57,100.0,10.0593283160156,60,0.665,alto risco/baixa eficiência,2,Alto,Alto,0.9077519379844962,0.8728682170542635,0.7923478156360796,0.6325100345637398
564,3548104,Santo Antônio do Jardim,SP,6126,0.6077420424403183,1.6454349545814126,False,Adamantina; Santa Ernestina; Marapoama,similaridade,0.48,0.35,0.0,72.11666666666666,8,36.87350328554735,59.29,57.06,100.0,13.7470065710947,60,0.415,baixo risco/baixa eficiência,4,Médio,Baixo,0.43643410852713177,0.8744186046511628,0.3816261042004687,0.6291563166687066
565,3544004,Rio das Pedras,SP,31328,0.6074105747434899,1.64633287858431,False,Monte Alto; Presidente Prudente; Pontal,similaridade,0.64,0.45,32.0,66.66666666666667,12,47.0747571961654,100.0,100.0,0.0,14.1495143923308,80,0.545,alto risco/baixa eficiência,4,Alto,Médio,0.7565891472868217,0.875968992248062,0.6627486328946578,0.5941011412143344
566,3517604,Guapiara,SP,17071,0.6045054383258266,1.6542448365220548,False,Pontal; Pompéia; Presidente Prudente,similaridade,0.52,0.41,0.0,67.89666666666666,16,45.2674799914563,67.58,36.11,100.0,10.5349599829126,80,0.46499999999999997,alto risco/baixa eficiência,4,Médio,Médio,0.5751937984496124,0.8775193798449612,0.5047437053061714,0.6027165918852988
567,3538501,Piquete,SP,12490,0.6038897725946889,1.6559313394286732,False,Leme; Pompéia; Ilhabela,similaridade,0.59,0.75,0.0,47.04666666666666,40,40.0,80.64,60.5,0.0,0.0,80,0.6699999999999999,alto risco/baixa eficiência,4,Médio,Alto,0.9131782945736434,0.8790697674418605,0.8027474310438075,0.514425066247372
568,3529906,Miracatu,SP,18553,0.5986448465327774,1.670439503140778,False,Nova Europa; Santópolis do Aguapeí; São Simão,similaridade,0.57,0.61,34.0,71.47,12,30.89208578859419,63.62,50.79,100.0,1.78417157718838,60,0.59,alto risco/baixa eficiência,4,Médio,Alto,0.813953488372093,0.8806201550387597,0.7167838471245719,0.6207661820874127
569,3556453,Vargem Grande Paulista,SP,50333,0.5973402019505296,1.6740878928534226,False,Pompéia; Ituverava; Pirangi,similaridade,0.46,0.48,0.0,64.67999999999999,32,41.4478647083213,100.0,58.0,36.04,2.89572941664259,80,0.47,alto risco/baixa eficiência,4,Médio,Médio,0.5922480620155038,0.8821705426356589,0.5224637942431344,0.6448455354893629
